x,y,z,mx,my,mz
0,23,0,0.812518,-0.497687,-0.303515
0,23,1,0.675217,-0.717489,-0.171146
0,23,2,0.727062,-0.664338,-0.173309
0,23,3,0.758046,-0.646344,-0.087213
0,23,4,0.871064,-0.465375,-0.15708
0,23,5,0.635588,-0.673369,-0.377627
0,23,6,0.513454,-0.856093,-0.058905
0,23,7,0.745927,-0.648263,-0.152803
0,23,8,0.787193,-0.599616,0.144181
0,23,9,0.846693,-0.48541,-0.217918
0,23,10,0.739664,-0.665695,-0.098729
0,23,11,0.845977,-0.533184,-0.006136
0,23,12,0.879971,-0.473419,-0.039063
0,23,13,0.690719,-0.676109,-0.256483
0,23,14,0.499112,-0.863039,-0.077788
0,23,15,0.701452,-0.670811,-0.240786
0,23,16,0.518021,-0.840909,-0.15661
0,23,17,0.745092,-0.517458,-0.420803
0,23,18,0.669568,-0.682902,-0.292103
0,23,19,0.775348,-0.563861,-0.284423
0,23,20,0.593925,-0.634585,-0.494525
0,23,21,0.768188,-0.375888,-0.518262
0,23,22,0.678164,-0.594699,-0.431771
0,23,23,0.905643,-0.186549,-0.380803
0,23,24,0.718091,-0.376016,-0.585626
0,23,25,0.874878,-0.129916,-0.466594
0,23,26,0.795059,-0.316286,-0.517537
0,23,27,0.772464,-0.400461,-0.49288
0,23,28,0.721986,-0.272728,-0.635889
0,23,29,0.81821,-0.05718,-0.572069
0,23,30,0.603394,-0.198422,-0.772363
0,23,31,0.548752,-0.068015,-0.833214
0,23,32,0.697225,-0.468771,-0.542338
0,23,33,0.338595,-0.531616,-0.776362
0,23,34,0.378243,-0.150958,-0.913315
0,23,35,0.577807,-0.29794,-0.759849
0,23,36,0.555046,-0.158199,-0.816638
0,23,37,0.858865,-0.177145,-0.480594
0,23,38,0.840993,-0.180875,-0.509917
0,23,39,0.741861,-0.500848,-0.445862
0,23,40,0.639506,-0.761923,-0.102498
0,23,41,0.848042,-0.516802,-0.117222
0,23,42,0.529181,-0.757976,-0.381364
0,23,43,0.981208,-0.115725,-0.154395
0,23,44,0.874957,-0.484059,-0.011693
0,23,45,0.780661,-0.545305,-0.305305
0,23,46,0.69634,-0.540398,-0.472314
0,23,47,0.376542,-0.734962,-0.563956
0,23,48,0.643531,-0.348982,-0.681234
0,23,49,0.778688,-0.451578,-0.435572
0,23,50,0.586071,0.021975,-0.809962
0,24,0,0.878584,-0.380779,-0.288268
0,24,1,0.773975,-0.6328,-0.022973
0,24,2,0.676421,-0.627757,-0.385195
0,24,3,0.595123,-0.791961,-0.136476
